name,team,player_position,min_pick,max_pick,avg_pick,pick_count,adp_overall_pick,adp_roundpick
Devaughn Vele,NO,WR,150,150,150.0,1,177,15.9
Zach Ertz,WAS,TE,124,177,150.57,7,178,15.10
Cameron Dicker,LAC,K,125,168,151.17,6,179,15.11
Brenton Strange,JAX,TE,144,165,151.67,3,180,15.12
Blake Corum,LAR,RB,152,152,152.0,1,181,16.1
Buffalo Bills,BUF,DEF,134,170,152.6,5,182,16.2
Minnesota Vikings,MIN,DEF,125,171,153.0,6,183,16.3
Elijah Arroyo,SEA,TE,150,156,153.0,2,184,16.4
Houston Texans,HOU,DEF,139,164,153.0,5,185,16.5
C.J. Stroud,HOU,QB,132,171,153.5,4,186,16.6
Rashod Bateman,BAL,WR,136,176,154.0,3,187,16.7
J.J. McCarthy,MIN,QB,139,163,154.4,5,188,16.8
Cam Little,JAX,K,127,175,154.8,5,189,16.9
Tyler Loop,BAL,K,155,155,155.0,1,190,16.10
Harrison Butker,KC,K,130,168,155.0,3,191,16.11
Jordan Love,GB,QB,143,168,155.5,2,192,16.12
Joshua Palmer,BUF,WR,128,178,155.6,5,193,17.1
DJ Giddens,IND,RB,142,173,157.5,2,194,17.2
New England Patriots,NE,DEF,158,158,158.0,1,195,17.3
Chris Boswell,PIT,K,128,174,158.6,5,196,17.4
Jake Bates,DET,K,142,171,159.17,6,197,17.5
Chase McLaughlin,TB,K,132,178,159.5,4,198,17.6
Adonai Mitchell,IND,WR,161,161,161.0,1,199,17.7
Hunter Henry,NE,TE,153,180,162.0,3,200,17.8
Tua Tagovailoa,MIA,QB,162,162,162.0,1,201,17.9
Dameon Pierce,HOU,RB,164,164,164.0,1,202,17.10
Detroit Lions,DET,DEF,165,165,165.0,1,203,17.11
Tahj Brooks,CIN,RB,165,165,165.0,1,204,17.12
Mason Taylor,NYJ,TE,159,173,166.0,2,205,18.1
Chig Okonkwo,TEN,TE,160,174,167.0,2,206,18.2
Seattle Seahawks,SEA,DEF,165,170,167.5,2,207,18.3
Roschon Johnson,CHI,RB,170,170,170.0,1,208,18.4
Washington Commanders,WAS,DEF,163,177,170.0,2,209,18.5
Green Bay Packers,GB,DEF,171,171,171.0,1,210,18.6
Isaiah Likely,BAL,TE,172,172,172.0,1,211,18.7
Daniel Carlson,LV,K,172,172,172.0,1,212,18.8
Evan McPherson,CIN,K,167,177,172.0,2,213,18.9
Will Reichard,MIN,K,165,179,172.0,2,214,18.10
New York Giants,NYG,DEF,172,172,172.0,1,215,18.11
Ka'imi Fairbairn,HOU,K,166,180,172.33,3,216,18.12
Cleveland Browns,CLE,DEF,173,173,173.0,1,217,19.1
Arizona Cardinals,ARI,DEF,173,176,174.5,2,218,19.2
Wil Lutz,DEN,K,174,178,176.0,2,219,19.3
Bryce Young,CAR,QB,176,176,176.0,1,220,19.4
Woody Marks,HOU,RB,177,177,177.0,1,221,19.5
Xavier Legette,CAR,WR,178,178,178.0,1,222,19.6
Chris Rodriguez,WAS,RB,179,179,179.0,1,223,19.7
New York Jets,NYJ,DEF,179,179,179.0,1,224,19.8
DeAndre Hopkins,BAL,WR,180,180,180.0,1,225,19.9
