player,status,action,min_price,max_price,avg_price,transactions,owners_bid
Juwan Johnson,complete,add,0,14,5.684210526315789,19,"['js3005', 'Teddy1987', 'KevinClubKaputt', 'Matze47', 'TigerMum', 'paulhandball', 'AluChip', 'Huwigan', 'KunFc', 'Ralfonso31', 'matsrun', 'wson78', 'PatDe79', 'RaiderNationDE', 'chaefer77', 'upsidesille', 'Stegiboy21', 'Kingslayer4', 'GoBirds529']"
Ka'imi Fairbairn,complete,add,0,0,0.0,4,"['jans12', 'mattposer', 'MartinB', 'piczpek38']"
Ka'imi Fairbairn,failed,add,0,0,0.0,1,['mogli4dk']
Kareem Hunt,complete,add,0,10,4.5,8,"['Greglemec', 'MacMike23', 'LukasB19', 'copyK0', 'Raffi354', 'TomEdelkowski', 'Tom1994', 'fabkry']"
Kareem Hunt,failed,add,1,1,1.0,1,['Kingslayer4']
Kayshon Boutte,complete,add,0,40,12.571428571428571,21,"['Fritschi75', 'matfh', 'MiThe', 'PM8809', 'lupra6', 'Tohuwabohu', 'Fleaflicker78', 'AluChip', 'bob2202', 'MacWho', 'BraveCompanions', 'LadiesandEdelman19', 'KCLuk', 'mattposer', 'SkolPro', 'RaoulDuke0', 'FRunner08', 'Labestianegra2512', 'Jubie', 'Gustii95', 'GoBirds529']"
Kayshon Boutte,failed,add,0,33,8.92,25,"['Matos1406', 'd4ddyOnToUr', 'Rotkaeppchen66', 'BillsMafia1990Niko', 's4msp4de', 'KevinClubKaputt', 'Matze47', 'paulhandball', 'AluChip', 'kiki1981', 'Izzy0922', 'Gronkzone77', 'DerEl', 'marvhin23', 'wson78', 'Wattringer93', 'ChrisVii', 'mogli4dk', 'chaefer77', 'piczpek38', 'Kingslayer4', 'GM29', 'ChrisK86', 'faxe1984']"
Keenan Allen,complete,add,50,50,50.0,1,['kiki1981']
Keenan Allen,failed,add,13,33,22.5,4,"['PatriotPrime', 'Pokernatic', 'uncl3joe']"
Kendre Miller,failed,add,0,0,0.0,1,['FI94']
Kenneth Gainwell,complete,add,0,35,6.153846153846154,13,"['iamseanofthedead', 'Kingslayer4', 'JogisSteelers', 'BillsMafia1990Niko', 'simmerl77', 'TobiasHH', 'Kap4ever', 'BradyGaga92', 'GreenBayKorber', 'Pokernatic', 'ToFu_NE', 'DerEl', 'saarmaster87']"
Kenneth Gainwell,failed,add,0,2,0.4,5,"['Mo1900', 'Fleaflicker78', 'QuadsOfSteel', 'bigbbbo', 'Pfalzer26']"
Kyle Monangai,complete,add,0,0,0.0,1,['clockoperator1']
Kyle Monangai,failed,add,0,0,0.0,1,['Greglemec']
Kyle Pitts,complete,add,6,6,6.0,1,['FRunner08']
LeQuint Allen,complete,add,2,2,2.0,1,['HakanHan']
Los Angeles Chargers,complete,add,0,1,0.5,2,"['Riz1Jets', 'Tigro1941']"
Los Angeles Chargers,failed,add,0,0,0.0,1,['19Loki99']
Los Angeles Rams,complete,add,0,10,2.7142857142857144,7,"['Bruensen', 'SleepyLippi', 'Donesbucs', 'FSViennaBroncos', 'TeamEdox', 'fribbeldip', 'Haya82']"
